1;Tinamiformes;Tinamous;Tinamofåglar;Tinamidae;Tinamous;Tinamoer
49;Struthioniformes;Ostriches;Strutsfåglar;Struthionidae;Ostriches;Strutsar
52;Rheiformes;Rheas;Nandufåglar;Rheidae;Rheas;Nanduer
55;Casuariiformes;Cassowaries, Emus;Kasuarfåglar;Casuariidae;Cassowaries;Kasuarer
59;Casuariiformes;Cassowaries, Emus;Kasuarfåglar;Dromaiidae;Emu;Emuer
61;Apterygiformes;Kiwis;Kiwifåglar;Apterygidae;Kiwis;Kivier
67;Anseriformes;Waterfowl and Screamers;Andfåglar;Anhimidae;Screamers;Värnfåglar
71;Anseriformes;Waterfowl and Screamers;Andfåglar;Anseranatidae;Magpie Goose;Skatgäss
73;Anseriformes;Waterfowl and Screamers;Andfåglar;Anatidae;Ducks, Geese and Swans;Änder
247;Galliformes;Pheasants, Guineafowl,Cracids;Hönsfåglar;Megapodiidae;Megapodes;Storfotshöns
269;Galliformes;Pheasants, Guineafowl,Cracids;Hönsfåglar;Cracidae;Chachalacas, Curassows and Guans;Trädhöns
325;Galliformes;Pheasants, Guineafowl,Cracids;Hönsfåglar;Numididae;Guineafowl;Pärlhöns
332;Galliformes;Pheasants, Guineafowl,Cracids;Hönsfåglar;Odontophoridae;New World Quail;Tofsvaktlar
367;Galliformes;Pheasants, Guineafowl,Cracids;Hönsfåglar;Phasianidae;Pheasants and allies;Fasanfåglar
550;Gaviiformes;Loons;Lomfåglar;Gaviidae;Loons;Lommar
556;Sphenisciformes;Penguins;Pingvinfåglar;Spheniscidae;Penguins;Pingviner
575;Procellariiformes;Albatrosses, Shearwaters, Storm-Petrels;Stormfåglar;Oceanitidae;Austral Storm Petrels;Sydstormsvalor
585;Procellariiformes;Albatrosses, Shearwaters, Storm-Petrels;Stormfåglar;Diomedeidae;Albatrosses;Albatrosser
607;Procellariiformes;Albatrosses, Shearwaters, Storm-Petrels;Stormfåglar;Hydrobatidae;Northern Storm Petrels;Nordstormsvalor
624;Procellariiformes;Albatrosses, Shearwaters, Storm-Petrels;Stormfåglar;Procellariidae;Petrels, Shearwaters;Liror
717;Procellariiformes;Albatrosses, Shearwaters, Storm-Petrels;Stormfåglar;Pelecanoididae;Diving Petrels;Dykpetreller
